,zero,one,two,three,four,five,six,seven,eight,nine,nums,chars,upper,lower,special,strength
92,0,0,1,0,0,1,0,0,0,0,2,8,0,8,0,1
93,0,1,0,0,0,0,0,0,0,0,1,12,0,12,0,1
94,0,1,1,1,0,0,0,0,0,0,3,6,0,6,0,1
95,0,0,0,0,0,0,0,0,0,3,3,7,0,7,0,1
96,0,1,0,0,0,0,0,1,0,0,2,9,0,9,0,1
97,0,1,2,1,0,0,0,0,0,0,4,4,0,4,0,1
98,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,1
99,0,0,0,1,1,0,0,1,1,0,4,6,0,6,0,1
100,0,1,0,1,0,1,0,0,0,0,3,6,0,6,0,1
101,0,1,0,1,0,0,1,0,0,0,3,12,5,7,0,2
102,0,2,0,0,0,0,0,0,2,0,4,4,0,4,0,1
103,0,0,0,0,0,0,1,0,1,0,2,8,0,8,0,1
104,1,1,2,0,0,0,0,0,0,0,4,7,0,7,0,1
105,1,2,1,1,0,0,0,0,0,1,6,3,0,3,0,1
106,1,2,1,2,0,0,0,0,1,1,8,5,0,5,0,1
107,0,0,0,0,0,0,0,0,1,1,2,8,0,8,0,1
108,0,0,0,0,0,0,2,1,0,0,3,7,0,7,0,1
109,1,1,1,1,2,0,1,0,1,0,8,1,0,1,0,1
110,0,1,1,1,1,0,1,0,1,0,6,3,0,3,0,1
111,0,0,1,0,0,0,1,0,0,0,2,5,0,5,0,0
112,0,0,1,0,1,0,1,0,1,0,4,4,0,4,0,1
113,0,2,2,2,0,0,0,0,0,0,6,6,0,6,0,1
114,0,0,0,0,0,0,0,1,0,1,2,4,0,4,0,0
115,0,2,0,1,0,0,1,0,0,1,5,3,3,0,0,1
116,0,1,0,1,0,0,0,0,0,0,2,7,0,7,0,1
117,0,1,0,0,0,0,0,0,0,0,1,8,0,8,0,1
118,0,1,1,1,0,0,0,0,0,0,3,8,0,8,0,1
119,3,0,0,0,0,0,0,0,0,0,3,5,0,5,0,1
120,3,3,0,0,0,0,0,0,0,0,6,2,0,2,0,1
121,0,0,1,0,0,1,1,0,0,0,3,7,0,7,0,1
122,0,0,1,0,0,0,0,0,0,0,1,7,0,7,0,1
123,0,0,0,0,0,0,0,0,2,0,2,5,0,5,0,0
124,0,0,0,1,0,1,1,0,0,0,3,6,0,6,0,1
125,0,1,1,1,0,0,0,0,0,0,3,9,0,9,0,1
126,3,0,0,1,0,0,0,0,0,0,4,7,0,7,0,1
127,1,0,0,1,0,0,0,0,0,0,2,14,5,9,0,2
128,0,1,0,0,0,0,0,0,0,0,1,9,0,9,0,1
129,0,0,0,0,0,0,0,1,0,0,1,15,6,9,0,2
130,0,1,1,1,0,0,0,0,0,0,3,5,0,5,0,1
131,0,1,1,0,0,0,0,0,0,0,2,7,0,7,0,1
132,0,1,1,1,1,1,0,0,0,0,5,5,0,5,0,1
133,0,0,1,0,0,0,0,0,0,0,1,9,0,9,0,1
134,0,1,1,1,1,1,0,0,0,0,5,5,0,5,0,1
135,0,0,1,0,0,0,0,0,1,0,2,14,7,7,0,2
136,0,1,0,1,1,0,0,0,0,0,3,7,0,7,0,1
137,1,2,0,0,1,0,0,0,0,0,4,4,0,4,0,1
138,0,0,0,2,0,0,0,0,0,0,2,9,0,9,0,1
139,0,1,0,0,0,0,0,0,1,0,2,9,0,9,0,1
140,1,0,0,0,1,0,0,0,0,0,2,4,0,4,0,0
141,0,0,1,0,0,0,0,0,0,0,1,9,0,9,0,1
142,0,0,1,0,1,0,1,0,0,0,3,7,0,7,0,1
143,0,0,1,2,0,0,0,0,1,1,5,4,0,4,0,1
144,0,0,0,0,0,0,0,1,0,0,1,5,0,5,0,0
145,0,0,0,0,0,0,0,0,0,0,0,8,0,8,1,1
146,0,1,0,0,0,1,0,0,1,0,3,13,7,6,0,2
147,0,0,1,1,0,0,0,0,0,0,2,8,0,8,0,1
148,0,0,0,0,0,0,0,1,0,0,1,15,12,3,0,2
149,0,1,1,1,0,0,0,0,0,0,3,6,0,6,0,1
150,0,0,0,0,0,0,1,1,0,0,2,8,0,8,0,1
151,1,0,0,0,1,0,1,1,0,1,5,11,2,9,0,2
152,0,0,0,0,1,1,0,1,0,0,3,7,0,7,0,1
153,2,1,0,1,0,1,1,0,0,2,8,1,0,1,0,1
154,0,0,0,0,1,1,0,0,1,0,3,5,0,5,0,1
155,0,1,1,0,0,0,0,0,0,0,2,7,0,7,0,1
156,0,1,1,0,0,2,1,0,0,0,5,11,4,7,0,2
157,0,2,1,0,1,1,1,1,1,0,8,3,0,3,0,1
158,1,2,1,0,0,0,0,0,0,0,4,6,0,6,0,1
159,0,0,0,0,0,0,0,2,0,0,2,5,0,5,0,0
160,0,0,2,0,1,0,0,0,1,0,4,8,0,8,0,1
161,0,1,0,0,0,0,1,1,0,1,4,7,0,7,0,1
162,0,0,0,2,2,0,4,0,0,0,8,3,0,3,0,1
163,0,1,0,0,0,0,0,0,0,0,1,6,0,6,0,0
164,0,1,1,1,0,0,0,0,0,0,3,8,0,8,0,1
165,0,0,1,0,1,0,0,0,0,0,2,14,7,7,0,2
166,0,1,1,1,0,0,0,0,0,0,3,9,0,9,0,1
167,1,0,0,0,0,0,0,0,0,0,1,7,0,7,0,1
168,0,0,0,1,0,0,0,0,0,1,2,8,0,8,0,1
169,0,1,1,1,1,1,1,0,0,0,6,2,0,2,0,1
170,0,2,1,0,0,1,0,0,0,0,4,5,0,5,0,1
171,1,1,0,0,0,2,0,0,0,0,4,5,0,5,0,1
172,0,1,1,0,0,0,0,0,0,0,2,4,0,4,0,0
173,1,2,0,0,1,0,0,0,0,2,6,3,0,3,0,1
174,0,1,0,0,0,0,0,0,0,0,1,7,0,7,0,1
175,0,0,0,1,1,0,0,0,0,0,2,7,0,7,0,1
176,0,1,0,0,0,0,0,0,0,0,1,9,0,9,0,1
177,2,1,0,1,0,0,0,0,2,0,6,4,0,4,0,1
178,0,0,0,0,1,1,1,0,1,0,4,4,0,4,0,1
179,0,0,0,0,0,0,0,1,0,0,1,5,0,5,0,0
180,1,0,0,0,0,0,0,0,0,0,1,16,1,15,1,2
181,1,0,0,0,0,0,0,0,0,0,1,6,0,6,0,0
182,0,0,0,0,0,0,0,0,2,0,2,9,0,9,0,1
183,0,0,0,0,1,0,0,0,1,0,2,5,0,5,0,0
184,0,0,1,2,1,2,0,0,1,0,7,1,0,1,0,1
185,1,1,0,0,0,0,0,0,0,0,2,8,0,8,0,1
186,0,0,0,0,0,0,1,0,0,0,1,9,0,9,0,1
187,1,0,0,0,0,0,0,1,0,0,2,7,0,7,0,1
188,0,1,0,0,0,0,0,2,0,1,4,6,0,6,0,1
189,0,0,1,0,0,0,0,0,1,0,2,4,0,4,0,0
190,0,1,1,1,1,0,1,0,1,0,6,4,0,4,0,1
191,1,1,0,0,0,0,0,0,0,0,2,8,0,8,0,1
192,1,1,0,1,1,1,1,1,0,1,8,8,1,7,2,2
193,0,1,0,1,0,0,1,0,1,0,4,6,0,6,0,1
194,1,0,0,0,0,0,0,0,0,0,1,5,0,5,0,0
195,0,0,0,1,0,2,0,0,0,0,3,9,0,9,0,1
196,0,1,1,1,0,0,0,0,0,0,3,6,0,6,0,1
197,1,0,0,1,0,0,0,0,0,0,2,6,0,6,0,1
198,0,0,0,1,0,0,0,1,0,1,3,9,0,9,0,1
199,0,0,0,0,0,0,0,0,0,1,1,15,9,6,0,2
200,0,0,0,0,1,0,1,0,0,0,2,9,0,9,0,1
201,2,1,1,0,0,0,0,0,0,0,4,8,0,8,0,1
202,0,0,0,0,0,1,0,0,1,1,3,9,0,9,0,1
203,0,4,1,1,1,1,0,0,0,0,8,1,0,1,0,1
204,0,0,0,0,1,0,0,1,0,0,2,6,0,6,0,1
205,1,0,0,0,0,3,0,0,0,0,4,5,0,5,0,1
206,0,0,0,0,0,0,0,0,1,1,2,6,0,6,0,1
207,1,0,2,1,0,0,0,0,0,0,4,12,9,3,0,2
208,3,0,1,0,0,0,0,0,0,0,4,6,0,6,0,1
209,0,0,1,0,0,0,0,0,0,0,1,6,0,6,0,0
210,0,1,0,0,0,1,1,0,0,0,3,10,0,10,1,2
211,0,1,0,0,0,0,0,0,0,0,1,9,0,9,0,1
212,0,1,0,0,0,0,0,0,0,0,1,12,0,12,0,1
213,0,0,0,0,0,0,1,0,0,1,2,5,0,5,0,0
214,1,0,1,0,1,0,1,0,1,1,6,9,2,7,0,2
215,0,1,0,0,0,0,0,0,0,1,2,14,10,4,0,2
216,1,2,0,1,0,0,0,0,0,0,4,4,0,4,0,1
217,0,0,0,0,0,1,0,0,0,0,1,5,0,5,0,0
218,2,0,0,0,1,0,0,0,0,0,3,7,0,7,0,1
219,0,1,0,0,1,0,0,0,0,0,2,11,0,11,0,1
220,0,1,0,1,0,1,0,0,0,0,3,6,0,6,0,1
221,0,1,0,0,1,0,0,0,0,0,2,4,0,4,0,0
222,0,1,0,0,0,0,0,0,0,0,1,8,0,8,0,1
223,2,0,0,1,0,0,0,0,0,0,3,3,0,3,0,0
224,2,0,1,0,0,0,0,0,1,0,4,6,0,6,0,1
225,0,1,0,0,0,0,0,0,0,0,1,9,0,9,0,1
226,0,0,0,0,0,0,0,1,0,0,1,6,0,6,0,0
227,0,1,0,0,0,0,0,0,0,0,1,6,0,6,0,0
228,0,1,1,0,0,0,0,0,0,0,2,5,0,5,0,0
229,0,1,1,1,0,0,0,0,0,0,3,8,0,8,0,1
230,1,1,0,0,0,0,0,0,0,2,4,5,0,5,0,1
231,0,0,1,1,0,0,0,0,1,0,3,6,0,6,0,1
232,0,1,0,1,0,0,0,0,1,1,4,7,0,7,0,1
233,3,0,1,0,1,0,0,2,3,0,10,2,0,2,0,1
234,0,0,0,1,0,0,1,1,0,0,3,7,0,7,0,1
235,0,0,0,1,0,0,0,0,0,0,1,6,0,6,0,0
